id	motivo	tab1	label
89	el costo del servicio.	precio	4
90	los decodificadodores son viejos, se cuelgan y reinician  en todo momento, fallan muy seguido, se quedan sin sonido y hay que reiniciarlo, el servicio en general es malo con respecto al precio que se paga 	precio	4
91	hoy no ha funcionado el decodificador en todo el dÌa. tengo que esperar 3 dÌas que venga el tÈcnico. para colmo la franja horaria de la visita es absurdamente larga con 6 horas. frecuentemente no es posible ver programas ya transmitidos en las ˙ltimas 24 horas. aparece un mensaje de error.	servicio	7
92	muy caro	precio	4
93	me cobraron varios meses consecutivos servicios que no correspondÌan a lo que habÌa contratado. cuando tuve que hacer el reclamo demoraron en entender cual era el problema y me debitaron el monto. administrativamente son un desastre.	relacionamiento	6
94	no respetan los precios de las promociones acordadas, todos los meses incrementan el costo. en breve voy a dar de baja el servicio	precio	4
95	el servicio se me cortaba seguido y debÌan reiniciarlo desde la mesa de soporte	servicio	7
96	buen servicio	servicio	7
97	audio malisimo!!! , se tilda  constantemente , streaming siempre con cÛdigo de error, etc, etc, etc !!!	servicio	7
98	llevo meses de pedidos de resolucion de problemas administrativos y cada vez que impactan un cambio, me dejan sin usuario en flow. acaba de suceder lo mismo este doming y aun no recupere mi usuario. no puedo recomendar algo que no tiene servicio de atencion alcliente	relacionamiento	6
99	caro y se descompone seguido	precio	4
100	muchos problemas	servicio	7
101	cayÛ un poco la calidad	servicio	7
102	"tenemos que reiniciarlo muy seguido porque se ""se tilda"" y no podemos cambiar de canal. el precio es exageradamente alto y muy frecuentemente tengo que reclamar porque facturan mal y luego reclamar que no me acreditaron lo que quedÛ a favor"	servicio	7
103	y mir·, me mandan esta encuesta despuÈs de haber estado sin internet todo el dÌa. flow funciona pero es mediocre, lejos de estar al nivel de netflix, amazon, hbo. 	servicio	7
104	la mitad del mes estoy sin conexiÛn ( se congela la imagen o no se puede ver )	servicio	7
105	me parece genial ver algo cuando tenga ganas o pueda	funcionalidad	3
106	se corta seguido y es caro.	precio	4
107	inestable, muy poco eficaz. fallas constantes	servicio	7
108	demasiado caro por la programaciÛn que proponen	precio	4
109		otros	9
110	es deplorable, desde que cambuaron las configuraciones del decodificador es de terror, le meten la mano en el bolsillo a la gente brindando un servicio deplorable 	funcionalidad	3
111	no tengo tiempo para usarlo	no lo uso	0
112	muchas veces no anda bien	servicio	7
113	me obligaron a ponerlo, y hace 3 meses q no funciona y no le ncuentran la vuelta verguenza, y encima pagas te sentis estafada, no tienen respuesta y te lo cobran como si nada!! solicito q se bonifique, lo unico q hacen es reiniciar el equipo y todo sigue igual	relacionamiento	6
114	se corta permanentemente 	servicio	7
115	no tiene buenas peliculas ni series y el otro dia no pude entrar para empezar a ver una serie	contenido	1
116	al menos en mi casa, no es buena la seÒal de internet, muy lento	servicio	7
117	servicio que no siempre funciona bien y es muy costoso	precio	4
118	estoy mirando  peliculas o serie y  se corta  el servicio,  ocurre  casi siempre	servicio	7
119	buena variedad de contenidos	contenido	1
120	funciona lento y precio elevado	servicio	7
121	funciona mal y cuando quiere	servicio	7
122	se corta en forma continua es terrible!!!! esta pasando desde que me pase a personal .estoy anslizando como lo resuelvo 	servicio	7
123	no se ve caitulos anteriores o se mezclan ??	funcionalidad	3
124	el contenido es muy pobre, si no te suscribis a otros servicios, lo cual es economicamente imposible casi no tenes nada, todo viejo, incluso los alquileres no son atractivos	contenido	1
125	la app funciona pÈsimo. ademas aumentaron una barbaridad	precio	4
126	se traba y se ve mal 	servicio	7
127	falla constantemente	servicio	7
128	tiene una programaciÛn antigua y repiten 	contenido	1
129	lento, se corta	servicio	7
130	buena plataforma	servicio	7
131	no es f·cil encontrar series ni retomar las que se est· mirando	funcionalidad	3
132	alto precio baja calidad de funcionamiento	precio	4
133	deseo poder ver flow adonde viaje y fuera de argentina no lo puedo hacer	flow app	2
134	me envian email indicando descuentos por 6 meses de 2500, pero la primera factura que llega ya viene con nuevo aumento, por lo tanto el descuento es irreal	precio	4
135	me cuesta encontrar pelÌculas para ver 	contenido	1
136	desconexiones frecuentes, caida de wi-fi.	servicio	7
137	sale caro	precio	4
138	hace 15 dÌas funciona en mi celular motorola g7, en la pc y dem·s celular mates si. que pasa? ya reclamÈ 4 veces y nada..	flow app	2
139	no lo miro para nada y deseo sacarlo y que me bajen la cuota que pago	precio	4
140	mal contenido, pocas pelÌculas	contenido	1
141	me cambiaron el formato y ya no puedo ver que programa siguiente ..y es muy caro	precio	4
142	muy lento	servicio	7
143	es buena la idea de flow pero la app es pesima .	flow app	2
144	muy lento y muy caro.	precio	4
145	se corta muy seguido y tengo q llamar para q me den nueva seÒal	servicio	7
146	las app de movies tienen la mayoria de los contenidos de flow, y juntando el costo de todos termina saliendo mas barato	contenido	1
147	problemas tecnicos	servicio	7
148	servicios caro	precio	4
149	siempre anda mal , tengo la hora des o dificultada hace 1 mes, 1 vez por semana llamo por alg˙n inconveniente 	servicio	7
150	los programas no son buenos, y los subtitulos no se pueden modificar ni el color ni el tamaÒo de las letras	contenido	1
151	el deco anda lento y se cuelga varias veces 	servicio	7
152	anda muy lento y se tilda frecuentemente	servicio	7
153	precios caros	precio	4
154	no es amigable el uso.  muchas de las cosas que quiero ver hay que pagarlas aparte	funcionalidad	3
155	el deco no sirve	servicio	7
156	muy caro, suben los precios despuÈs de que pagaste la instalaciÛn 	precio	4
157	mala calidad del servicio. desconexiones permanentes. mas servicio de atencion de reclamos	servicio	7
158	permanentes problemas jamas resueltos y costo 	precio	4
159	no se porque ultimamente y a pesar que cuento con el paquete hbo y star no aparecen en la grilla	contenido	1
160	no veo mucha variedad en pelÌculas y series	contenido	1
161	no puedo ver flow en el televisor cuando viajo.	otros	9
162	se corta todo el tiempo	servicio	7
163	estoy disconforme con la ˙ltima actualizaciÛn 	funcionalidad	3
164	servicio deficiente. la seÒal es intermitente. el control remoto presenta fallas continuas.  	servicio	7
165	antes estaba mucho mejor, esto se corta, hay que reiniciar el equipo periÛdicamente, lamentable la experiencia	servicio	7
166	lentisimo. cambiar o poner algo nuevo es un parto. motor de b˙squeda ineficiente. 	servicio	7
167	pelÌculas viejas, pocos estrenos. 	contenido	1
168	el decodificador funciona muy lento y se traba. no es funcional.	servicio	7
169	muy baja calidad de video, no parece hdmi ...y muy lento los mandos mediante control	servicio	7
170	precio excesivamente caro.	precio	4
171	son mentirosos	relacionamiento	6
172	muchas fallas , se reinicia a menudo, no funciona el volumen del control del decodificador , entre otras fallas  	servicio	7
173	est· muy bueno te permite grabar programas	contenido	1
174	se corta	servicio	7
175	es inestable	servicio	7
176	se cuelga y no funciona bien	servicio	7
177	no puedo acceder en forma remota 	otros	9
178	no me anda bien el codificador pir momentos	servicio	7
179	funciona malÌsimo	servicio	7
180	funcionamiento deficiente de todo el sistema	servicio	7
181	a veces no puedo ver programas de las ˙ltimas 24 horas. i son pocas las horas de grabaciÛn comparando con el anterior hd	servicio	7
182	no me gusts el contenido	contenido	1
183	no me parece f·cil la b˙squeda y manejar	funcionalidad	3
184	el deco es medio lento.. lo tengo que reiniciar muchas a veces. no tiene 4k.	servicio	7
185	han sacado los canales de la grilla, y todo esta en el app, que no esta del todo terminada, y no todos saben manejar una app y menos para ver tv. es mas estoy pensando seriamente en dar de baja star	producto	5
186	el servicio es bueno, pero todavÌa le falta, cuando queres ver programas viejos o pausar y volver a ver y demas siempre hay algun problema y se cierra o arranca siempre desde el principio sobre todo en la app (con 30 minutos de otro programa y tenes que verlo para ver lo que queres)	servicio	7
187	funciona mal cuando reinicias un programa, se cortan los finales. tambien el servicio viene con interrupciones cada vez mas frecuentes y por tiempos prolongados, la tarifa a sin de mes sin embargo no para de tener subas	funcionalidad	3
188	servÌcio cada dÌa m·s caro.... un desastre. llamas y nadie atiende. una verg„ºenza 	precio	4
189	no funciona bien. no es claro su manejo	servicio	7
190	anda muy bien, es agil su sistema, tienen muchas cosas para ver	servicio	7
191	que uso lo m·s basico	no lo uso	0
192	funciona mal. muy caro	precio	4
193	pesimo servicio, pesima atencion que me brindaron, hace mas de dos meses que no me anda, voy a proceder a dar de baja el servicio a la brevedad	relacionamiento	6
194	pesimo servicio	servicio	7
195	no funcionan las opciones 	servicio	7
196	pelÌculas viejas repetidas miles de veces	contenido	1
197	el deco anda bastante mal, la busqueda se congela, cuando ingreso a busqueda de canales aparecen un listado solo de start, se reinicia seguido etc.	servicio	7
198	la variedad que brinda y la posibilidad de otros canales y volver a verlos. es facil de utilizar	contenido	1
199	la cuota	precio	4
200	nunca lo pude utilizar, siendo que lo pago	servicio	7
201	no me brinda un servicio, bueno cada dos por tres tengo que resetear el aparato, el mismo se corta  y con elÒ otro aparato de hd anda a la perfeccion	servicio	7
202	ofrecen un precio y cobran otro. verg„úenza	precio	4
203	el sistema es lento y se suele tildar bastante seguido	servicio	7
204	muy buena atencion de parte de la gente que viene aunque no es muy bueno lo que es internet siempre anda mal	relacionamiento	6
205	pedi la baja de un servicio el 30/11/21 que se paga anticipado y me han dicho que tengo que pagar el mes igualmente y recien en 30 dias me dan la baja	relacionamiento	6
206	ya tienen el servicio	otros	9
207	las pelÌculas de flow en su mayorÌa no tienen traducciÛn, tengo que estar reseteando permanentemente el codificador, siempre surge alg˙n problema, no lo veo nada practico	servicio	7
208	encuentro lo que quiero en cualquier momento	funcionalidad	3
209	porque es un sistema lento que muchas veces se traba , y pasar de canal a veces es dificil	servicio	7
210	caro y mala calidad	precio	4
211	anda mal	servicio	7
212	el domingo 29 de agosto, quedÛ el servicio tÈcnico en pasar por mi propiedad por un reclamo de insatisfacciÛn por el pÈsimo servicio de flow 	relacionamiento	6
213	acceso a mis programas favoritos presentes y emitidos	funcionalidad	3
214	amplia variedad de programas	contenido	1
215	el decodificador cada tanto deja de funcionar y hay que resetearlo	servicio	7
216	sistematicamente funciona mal, tengo que reiniciarlo y volver a activarlo.	servicio	7
217	se traba todo el tiempo, no se puede mirar nada. con chromecast funciona muy mal.. desde la ultima actualizaciÛn.	flow app	2
218	se corta todo el tiempo 	servicio	7
219	se me suele trabar el deco	servicio	7
220	calidad en sus contenidos 	contenido	1
221	es que a mÌ me la impusieron a la aplicaciÛn y a˙n no la de utilizar	servicio	7
222	muy caro por las seÒales que tiene 	precio	4
223	la calidad del servicio empeorÛ mucho em los ultimos meses. tarda mucho o se cuelga cuando intento ver algo del dia anterior.  antes andaba mucho mejor.	servicio	7
224	mucho inconvenientes. se desprograman las grabaciones	servicio	7
225	a cada rato tengo que desenchufarlo porque se tilda	servicio	7
226	cuando quiero mirar algo de un horario anterior funciona mal	servicio	7
227	muy caro	precio	4
228	no es verdad que puedo tenerla en todos mis dispositivos.,hay smarts que no lo reciben	smart tv	8
229	es muy complicado buscar y volver atr·s. la interfaz es poco amigable	servicio	7
230	muy buena programaciÛn	contenido	1
231	se corta seguido 	servicio	7
232	cada vez que quiero usar para rebobinar se traba y no funciona	servicio	7
233	me cobraron este mes dos veces! y no me atendieron! me colgaron las llamadas y los chats, hasta que una chica me atendio. aparte me tienen aun con 300 megas en vez de subir la velocidad!	precio	4
234	hace unos dÌas anda mal se tildan los canales	servicio	7
235	las grilla de peliculas y series que ofrece es de poca calidad	contenido	1
236	no funciona , ya han venido a repararlo y no hay manera que ande buen. aun esperando el servicie que prometieron hace dos meses	servicio	7
237	creo tendrian que informar mejor y mas explicito sobre la tem·tica de las peliculas y series.	contenido	1
238	es inestable, no suele funcionar cuando hay grandes eventos, el sap no suele funcionar al transmitir al chromecast	servicio	7
239	repeticion permanente de peliculas	contenido	1
240	no enciende el deco, hay qye reiniciarlo continuamente	servicio	7
241	funciona muy mal, hace meses no me solucionan el problema del volumen, que tienen muchos clientes	servicio	7
242	la aplicaciÛn la estoy pagando desde el inicio y nunca funciona bien, se traba, no reproduce no permite avanzar en vivo. una desilusiÛn completa cuando hay futbol directamente no permite ingresar. pago por algo que no tengo	flow app	2
243	pesimo sercio y atencion. imposible xonunicarse con at al cliente. hace 2 meses aue no funciona el modem	relacionamiento	6
244	servicio muy caro y calidad de prestacion baja	precio	4
245	servicio vs precios	precio	4
246	es caro en relaciÛn al producto. 	precio	4
247	mal funcionamiento	servicio	7
248	es porque me  permite variedad de series y puedo ver programas anteriores	contenido	1
249	es carÌsimo y la oferta de programaciÛn es la misma porquerÌa de siempre	contenido	1
250	no me gusta hacer recomendaciones	otros	9
251	no me gusta pero es mal necesario 	producto	5
252	muy bueno 	producto	5
253	llame por telefono por unos problemas y nunca me atendiron	relacionamiento	6
254	deco se reinicia todos los dias	servicio	7
255	falta ajustar los horarios de comienzo y termino de los programas. cuando un programa esta en vivo a veces no se puedr hacer pausa. el precio es muy alto	servicio	7
256	canales poco interesantes	contenido	1
257	no lo uso 	no lo uso	0
258	"no siempre anda bien. por otro lado estaba mirando la serie ""dexter"" y un dÌa de la nada dejÛ de estar disponible. que pasÛ??"	contenido	1
259	simplemente mis amigos ya son usuarios del cable	otros	9
260	me parece s˙per completo el contenido 	contenido	1
261	˙ltimamente est· fallando mucho, y est· demasiado lento.	servicio	7
262	anda mal y muy lento. siempre lo tengo que reiniciar	servicio	7
263	se corta a cada rato 	servicio	7
264	muy ˙til y flexible aplicaciÛn. 	producto	5
265	estoy esperando que solucionen el tema de compatibilidad y no que me digan que tengo que comprar otro televisor.	servicio	7
266	precio excesivo y abusivo	precio	4
267	me vendieron un poduco no pactado el precio final con celular era de 4100 y ahora me cobra 6000 o mas me estafaron	precio	4
268	la calidad del servicio. 	servicio	7
269	es un desastre ‚Ä¶ se cuelga a cada rato la app y la versiÛn web, cada vez que hay un evento importante se satura y marca error a107 .. 	flow app	2
270	mal servicio en general	servicio	7
271	problemas con las grabaciones, avance y retroceso, pone mal la hora, al avanzar la  grilla mucho se sala de ella.	servicio	7
272	no pude resolver un problema de suscripcion, dar baja a disney +	servicio	7
273	el decodificador hay que reiniciarlo practicamente todos los dias. ya lo cambiaron por otro y anda igual de mal	servicio	7
274	el internet est· malÌsimo y el deco se queda pegado	servicio	7
275	no anda bien	servicio	7
276	el servicio de atenciÛn al cliente es malo. tuve que llamar a  ventas para que me atiendan	relacionamiento	6
277	no permite programar un evento a futuro. se suele colgar muy seguido. las app (como disney) embebidas en el deco funcionan muy mal.	servicio	7
278	cada pocos dÌas queda clavado y debo llamar al sevicio tÈcnico para que me lo reinicien	servicio	7
279	pÈsimo servicio, tengo que esperar 4 dÌas para que un tÈcnico venga a solucionar el inconveniente.	relacionamiento	6
280	muy caro. los aumentos son muy seguidos.	precio	4
281	no.cubre mis expectativas sobre programas,  pelÌculas y series actualizadas, a pesar de contar con paquetes adicionales.	contenido	1
282	en la zona q vivo siempre hay problemas q se corta el servicio y tambien internet 	servicio	7
283	la interfaz con el usuario es muy mala, tanto en la app como en el deco	funcionalidad	3
284	poco claro el manejo, falta explicacion para personas mayores !	funcionalidad	3
285	dos por tres se corta, se reinicia a cada rato y la hora de la pantalla de guia dice cualquier cosa, ponen una programacion y pasan otra.etc	servicio	7
286	por que si	otros	9
287	todo el paquete flow no funciona correctamente, constantes cortes de servicio, muy disconforme	servicio	7
288	siempre hay mala conecion se corta la trasmicion .se poncelea.no se puede ver ninguna pelicula xq te dice q intenten mas tarde 	servicio	7
289	no me pusieron flow , tengo 4 cuentas y me quieren cobrar la instalaciÛn 	relacionamiento	6
290	no es buena, se corta mucho	servicio	7
291	demasiado caro el servicio. 	precio	4
292	la velocidad y los contenidos son muy pobres	contenido	1
293	no sigue al cliente en sus eleecciones	funcionalidad	3
294	muy caro el servicio	precio	4
295	no funciona correctamente	servicio	7
296	la utilizacion no es importante para mi	no lo uso	0
297	funciona pesimo para entrar a las aplicaciones y ciando queres buscar un programa anterior	servicio	7
298	peliculas viejas-actualente no funcionan los canales del 260 al 277 - debo suscrime a star +	servicio	7
299	el servicio no es bueno, ya que funciona mal el sistema. cuando quieres empezar de cero un programa o grabarlo te encontras con problemas tÈcnicos. no podÈs confiar en el sistema. se traba, se cuelga, etc	servicio	7
300	hqy mal servicio hace semanas	servicio	7
301	 buenas series, seria interesante mas pelicilas	contenido	1
302	anda siempre como el orto	servicio	7
303	muy inestable o nada confiable en los ˙ltimos meses 	servicio	7
304	no  nos gusta el programa de peliculas	contenido	1
305	durante el dÌa de las 7 am a las 10 am internet no anda x lo tanto no anda flow	servicio	7
306	raramente encuentro pelÌculas o material de mi interÈs	contenido	1
307	mas de lo mismo	contenido	1
308	el servicio es malo, tiene muchos errores de funcionamiento y cada vez cuenta con menos contenido	contenido	1
309	no puedo ver los programas de otros canales que no pertenecientes al holding	servicio	7
310	buena programcion y mo tengo mayores problemas aunque necesitaria mas explicacion  con el manejo del control tiene muchas funcione que no se utilizar	contenido	1
311	cada vez hay mas canales q tenes q pagar...entonces lo q antes era una ventaja...ya no es tan asi.aparte se tilda bastante seguido.	contenido	1
312	se traba el decodificador	servicio	7
313	baja calidad. se traba en eventos en vivo	servicio	7
314	el decodificador es malisimo y el cable ya no se puede ver de tanta propaganda	servicio	7
315	lentitud	servicio	7
316	el deco no funciona y siempre que vienen me dicen que cambie el cable interno, pero cuando me lo vendieron no les importo el cable	servicio	7
317	el precio siempre sube la boleta	precio	4
318	servicio pesimo y caro	precio	4
319	me est· persiguiendo la empresa de recupero de equipo cuando ya detallÈ que no tengo ninguno.	relacionamiento	6
320	se tilda muy seguido 	servicio	7
321	me encanta todo	producto	5
322	funciona bien	servicio	7
323	facturan mal y tengo que llamar varias veces para que me cobren lo que habÌamos pactado en el llamado anterior. eso me pasÛ 4 meses. 	relacionamiento	6
324	no puedo grabar programas nuevos y cuando quiero que deje de grabar algo no lo hace. no permite ver algo que se transmitio hace una horas atras, y cuando lo reproduce se traba continuamente ademas que coloca subtitulos y no permite quitarlos.	servicio	7
325	se desconfigura seguido. no hay suficiente banda. los contenidos gratuitos son bastante pobres. ya hay que abonar todo aparte	contenido	1
326	ultimamente, muchas fallas. 	servicio	7
327	lo ˙nico bueno de flow es que lo podÈs ver de cualquier dispositivo los noticieros y carpetas de m˙sica, porque el contenido del cable es malÌsimo	contenido	1
328	poca variedad de series	contenido	1
329	"me parece que la plataforma est· buena pero me gustarÌa m·s renovaciÛn y variedad de pelÌculas y series. no me gustÛ el cambio de sistema que obliga a ir la herramienta ""info"" para conocer el contenido, mientras antes del cambio podÌa verse la informaciÛn b·sica y recorrer la programaciÛn con la herramienta de retroceder. "	contenido	1
330	hasta ahora, no he usado flow para ver contentido, solo para accesar a los canales disponibles	no lo uso	0
331	el descodificador no funciona correctamente y hay canales que no se pueden ver	servicio	7
332	calidad de imagen	servicio	7
333	el muy mal funcionamiento	servicio	7
334	se apaga se corta se queda paralizado no me deja cambiar el canal un desastre	servicio	7
335	lentitud, falta de actualizacion, mal funcionamiento	servicio	7
336	ultimamente tarda en conectarse .y no ha mejorado su programacion	contenido	1
337	cuando contrate un servicio de flow.y lo das de baja .te siguen facturado.	relacionamiento	6
338	la calidad y disponibilidad del servicio.	servicio	7
339	lo unico bueno es la aplicacion para las apps, facilita el acceso. solo eso le encuentro bueno a flow.	producto	5
340	muchos cortes. nunca anda bien el deco. se vive trabando	servicio	7
341	el servicio es malo se corta constantemente el flow ,han venido tecnicos a casa y lo ultimo que dijeron de central es que el problema es de central y tienen que arreglar la seÒal alla !!!	servicio	7
342	todo viejo y repetido	contenido	1
343	la idea es buena pero el sistema operativo es muy antiguo y muchas veces anda mal 	servicio	7
344	funciona mal	servicio	7
345	la programaciÛn se repite, las series son de baja calidad y poco atractivas y ni hablar de la tarifa que crece y crece,	contenido	1
346	no pueden cambiarme mi decodificador y falla en todo momento.	servicio	7
347	muchas veces se tilda y no funciona, tira un mensaje de error	servicio	7
348	no anda bien	servicio	7
349	el producto no cumple	producto	5
350	no funciona 	servicio	7
351	cortes reiterados, mal sonido	servicio	7
352	si tuviera  otra opci„ìn  me cambiaria... y car„çsima....	precio	4
353	estan fallando los conversores y esta muy carisimo	precio	4
354	es excelente	producto	5
355	siempre que lo quiero usar anda mal	servicio	7
356	anda lento	servicio	7
357	muy caro el servicio	precio	4
358	el material ofrecido no tiene la variedad deseada, entre otras	contenido	1
359	el descodificador no funciona bien. hay que reiniciarlo constantemente	servicio	7
360	no funciona como corresponde el codificador, se cuelga internet. por el precio la calidad es mala.	precio	4
361	se corta demasiado la seÒal. el precio es caro en comparacion a alternativas que tiene el mercado	precio	4
362	hay cosas que veo que en flow argentina est· atado con alambres. eso de que para mi era lo m·s importante de poder repetir un video ya proyectado que aveces podÈs y aveces no por los famosos erroresque no encontramos una soluciÛn en la ayuda tÈcnica.	relacionamiento	6
363	se esta cortando mucho ultimamente 	servicio	7
364	no me funciona a la velocidad que deberÌa de corta mucho cuando estoy mirando cosas de flow	servicio	7
365	se corta dia por medio y tengo que reiniciar el deco constantemente	servicio	7
366	la facilidad y fluidez de la plataforma	producto	5
367	mala prestacion servicio muy caro	precio	4
368	„öltimamente anda mal la app en mi celular, y eso que es nuevo, adicional en la pc y por navegador tubo problemas y dure m·s de un mes con el problema, llame a fibertel y no me dieron una respuesta acordÈ al problema	flow app	2
369	el sistema no funciona bien nunca, no se puede rebobinar programas	servicio	7
370	es dificil comunicarse con alguin de flow, mas alla de que el servicio pueda ser bueno	relacionamiento	6
371	funciona como quiere, cuando quiere	servicio	7
372	que es muy bueno	producto	5
373	muchas fallas	servicio	7
374	cortes constantes 	servicio	7
